Week,Relative interest,Interaction
2/16/14,10,Seed dispersal
2/23/14,11,Seed dispersal
3/2/14,14,Seed dispersal
3/9/14,14,Seed dispersal
3/16/14,15,Seed dispersal
3/23/14,17,Seed dispersal
3/30/14,12,Seed dispersal
4/6/14,12,Seed dispersal
4/13/14,17,Seed dispersal
4/20/14,14,Seed dispersal
4/27/14,17,Seed dispersal
5/4/14,13,Seed dispersal
5/11/14,15,Seed dispersal
5/18/14,15,Seed dispersal
5/25/14,9,Seed dispersal
6/1/14,12,Seed dispersal
6/8/14,10,Seed dispersal
6/15/14,12,Seed dispersal
6/22/14,13,Seed dispersal
6/29/14,9,Seed dispersal
7/6/14,9,Seed dispersal
7/13/14,7,Seed dispersal
7/20/14,5,Seed dispersal
7/27/14,6,Seed dispersal
8/3/14,6,Seed dispersal
8/10/14,5,Seed dispersal
8/17/14,7,Seed dispersal
8/24/14,5,Seed dispersal
8/31/14,7,Seed dispersal
9/7/14,11,Seed dispersal
9/14/14,14,Seed dispersal
9/21/14,10,Seed dispersal
9/28/14,17,Seed dispersal
10/5/14,18,Seed dispersal
10/12/14,19,Seed dispersal
10/19/14,13,Seed dispersal
10/26/14,12,Seed dispersal
11/2/14,12,Seed dispersal
11/9/14,14,Seed dispersal
11/16/14,15,Seed dispersal
11/23/14,10,Seed dispersal
11/30/14,11,Seed dispersal
12/7/14,8,Seed dispersal
12/14/14,8,Seed dispersal
12/21/14,3,Seed dispersal
12/28/14,4,Seed dispersal
1/4/15,9,Seed dispersal
1/11/15,10,Seed dispersal
1/18/15,10,Seed dispersal
1/25/15,11,Seed dispersal
2/1/15,14,Seed dispersal
2/8/15,13,Seed dispersal
2/15/15,8,Seed dispersal
2/22/15,14,Seed dispersal
3/1/15,12,Seed dispersal
3/8/15,13,Seed dispersal
3/15/15,13,Seed dispersal
3/22/15,12,Seed dispersal
3/29/15,10,Seed dispersal
4/5/15,8,Seed dispersal
4/12/15,12,Seed dispersal
4/19/15,14,Seed dispersal
4/26/15,17,Seed dispersal
5/3/15,16,Seed dispersal
5/10/15,16,Seed dispersal
5/17/15,15,Seed dispersal
5/24/15,11,Seed dispersal
5/31/15,12,Seed dispersal
6/7/15,16,Seed dispersal
6/14/15,13,Seed dispersal
6/21/15,13,Seed dispersal
6/28/15,11,Seed dispersal
7/5/15,10,Seed dispersal
7/12/15,8,Seed dispersal
7/19/15,5,Seed dispersal
7/26/15,6,Seed dispersal
8/2/15,5,Seed dispersal
8/9/15,6,Seed dispersal
8/16/15,7,Seed dispersal
8/23/15,6,Seed dispersal
8/30/15,8,Seed dispersal
9/6/15,10,Seed dispersal
9/13/15,12,Seed dispersal
9/20/15,11,Seed dispersal
9/27/15,13,Seed dispersal
10/4/15,13,Seed dispersal
10/11/15,15,Seed dispersal
10/18/15,15,Seed dispersal
10/25/15,11,Seed dispersal
11/1/15,15,Seed dispersal
11/8/15,12,Seed dispersal
