ï»¿Scopus-40539-Analyze-Year,
,
Your query : (TITLE-ABS-KEY(pollinat*)),
,
,
Number of results : 40539,
,
YEAR,
2019,235
2018,2723
2017,2580
2016,2267
2015,2205
2014,2126
2013,1932
2012,1806
2011,1749
2010,1683
2009,1625
2008,1478
2007,1305
2006,1320
2005,1125
2004,1100
2003,1010
2002,970
2001,925
2000,868
1999,842
1998,782
1997,870
1996,784
1995,437
1994,388
1993,411
1992,362
1991,372
1990,368
1989,345
1988,274
1987,262
1986,262
1985,248
1984,248
1983,193
1982,188
1981,145
1980,112
1979,132
1978,118
1977,96
1976,96
1975,97
1974,84
1973,68
1972,71
1971,73
1970,41
1969,53
1968,53
1967,57
1966,52
1965,38
1964,32
1963,28
1962,22
1961,30
1960,26
1959,35
1958,16
1957,21
1956,17
1955,16
1954,20
1953,14
1952,12
1951,9
1950,2
1949,3
1948,10
1947,10
1946,3
1944,3
1943,5
1942,9
1941,7
1940,4
1939,3
1938,4
1937,4
1936,3
1935,6
1934,3
1933,7
1932,5
1931,6
1930,3
1929,3
1928,7
1927,3
1926,3
1925,3
1924,1
1923,1
1922,1
1921,3
1920,1
1919,1
1918,1
1917,2
1916,10
1915,13
1914,6
1913,3
1912,1
1911,1
1910,2
1909,4
1908,2
1907,1
1906,6
1905,2
1904,1
1903,1
1895,1
1893,1
1891,1
1880,1
