ï»¿Scopus-9796-Analyze-Year,
,
"Your query : (TITLE-ABS-KEY(""seed disp*""))",
,
,
Number of results : 9796,
,
YEAR,
2019,35
2018,594
2017,562
2016,563
2015,559
2014,542
2013,556
2012,515
2011,552
2010,467
2009,477
2008,434
2007,394
2006,351
2005,335
2004,264
2003,259
2002,278
2001,224
2000,197
1999,199
1998,179
1997,168
1996,126
1995,111
1994,99
1993,92
1992,80
1991,69
1990,68
1989,81
1988,48
1987,43
1986,42
1985,48
1984,42
1983,35
1982,25
1981,15
1980,10
1979,13
1978,6
1977,2
1976,5
1975,8
1974,1
1973,4
1972,1
1971,3
1970,1
1968,2
1967,1
1966,2
1965,3
1964,1
1963,1
1958,1
1943,1
1932,1
1930,1
