ï»¿Scopus-3143-Analyze-Year,
,
"Your query : (TITLE-ABS-KEY(""seed pred*""))",
,
,
Number of results : 3143,
,
YEAR,
2019,7
2018,156
2017,141
2016,141
2015,143
2014,152
2013,160
2012,137
2011,138
2010,144
2009,134
2008,144
2007,134
2006,124
2005,108
2004,110
2003,103
2002,106
2001,84
2000,79
1999,82
1998,71
1997,65
1996,46
1995,38
1994,44
1993,48
1992,33
1991,37
1990,34
1989,34
1988,29
1987,18
1986,18
1985,22
1984,12
1983,15
1982,16
1981,9
1980,2
1979,3
1978,8
1977,3
1976,4
1975,3
1974,1
1971,1
1970,1
1963,1
