ï»¿Scopus-44812-Analyze-Year,
,
"Your query : (TITLE-ABS-KEY(""herbiv*""))",
,
,
Number of results : 44812,
,
YEAR,
2019,248
2018,2724
2017,2584
2016,2647
2015,2570
2014,2521
2013,2576
2012,2299
2011,2092
2010,2024
2009,1762
2008,1800
2007,1484
2006,1496
2005,1377
2004,1246
2003,1217
2002,1107
2001,1034
2000,940
1999,905
1998,834
1997,738
1996,725
1995,497
1994,471
1993,427
1992,464
1991,438
1990,342
1989,365
1988,326
1987,321
1986,288
1985,263
1984,249
1983,217
1982,168
1981,138
1980,108
1979,99
1978,80
1977,73
1976,71
1975,55
1974,55
1973,46
1972,31
1971,31
1970,29
1969,18
1968,25
1967,14
1966,15
1965,16
1964,11
1963,7
1962,4
1961,3
1960,5
1959,8
1958,5
1957,6
1956,7
1955,4
1954,1
1953,3
1952,3
1951,3
1950,1
1949,1
1948,2
1947,6
1946,1
1945,2
1944,2
1942,4
1940,2
1939,1
1938,2
1937,1
1936,1
1935,1
1934,1
1933,1
1932,1
1931,3
1929,1
1928,1
1926,5
1924,2
1923,1
1921,1
1917,1
1908,1
1906,1
1904,1
1896,1
1878,1
1874,1
1851,1
