ï»¿Scopus-40539-Analyze-Affiliation,
,
Your query : (TITLE-ABS-KEY(pollinat*)),
,
,
Number of results : 40539,
,
AFFILIATION,
Chinese Academy of Sciences,892
"USDA Agricultural Research Service, Washington DC",665
United States Department of Agriculture,607
INRA Institut National de La Recherche Agronomique,572
CNRS Centre National de la Recherche Scientifique,537
"University of California, Davis",509
Cornell University,501
Consejo Superior de Investigaciones CientÃ_ficas,484
Universidade de Sao Paulo - USP,429
University of Florida,406
Wageningen University and Research Centre,404
Kyoto University,397
Consejo Nacional de Investigaciones CientÃ_ficas y TÃ©cnicas,358
University of KwaZulu-Natal,327
University of Toronto,322
Universidade Estadual de Campinas,318
North Carolina State University,313
Sveriges lantbruksuniversitet,311
Universidad Nacional AutÃ_noma de MÃ©xico,311
University of Zurich,295
University of Arizona,294
University of Wisconsin Madison,290
UNESP-Universidade Estadual Paulista,275
The University of Georgia,275
"University of California, Berkeley",274
University of Guelph,266
UniversitÃ_t GÃ¶ttingen,254
ETH ZÃ_rich,248
Utah State University,245
Empresa Brasileira de Pesquisa AgropecuÃ¡ria - Embrapa,242
Michigan State University,239
Agriculture et Agroalimentaire Canada,237
University of Chinese Academy of Sciences,236
University of Western Australia,236
University of Minnesota Twin Cities,233
University of Reading,228
Centre d'Ecologie Fonctionnelle et Evolutive,228
"University of California, Riverside",226
CSIC- EstaciÃ_n BiolÃ_gica de DoÃ±ana EBD,224
Pennsylvania State University,217
Oregon State University,214
Iowa State University,210
"Royal Botanic Gardens, Kew",208
Aarhus Universitet,208
Uppsala Universitet,206
Ministry of Education China,201
Universitat Wien,201
Chinese Academy of Agricultural Sciences,199
Lunds Universitet,197
Hebrew University of Jerusalem,196
Ohio State University,195
The University of Adelaide,191
Universiteit Stellenbosch,189
University of Cambridge,189
Australian National University,183
Universidad de Buenos Aires,178
KÃ¸benhavns Universitet,177
University of Leeds,174
Instituto Multidisciplinario de BiologÃ_a Vegetal,174
KU Leuven,172
Forestry and Forest Products Research Institute,171
University of Maryland,171
The University of British Columbia,169
University of Tokyo,164
Commonwealth Scientific and Industrial Research Organization,164
Kunming Institute of Botany Chinese Academy of Sciences,162
Universidade Federal de Vicosa,161
University of Calgary,159
Rocky Mountain Biological Laboratory,158
University of Melbourne,157
Huazhong Agricultural University,157
University of Oxford,156
Wuhan University,156
Universidade Federal de Uberlandia,155
University of Illinois,151
University of Queensland,150
Duke University,149
Purdue University,149
University of Massachusetts,145
Imperial College London,145
Universidad Nacional de Cordoba,144
Julius-Maximilians-UniversitÃ_t WÃ_rzburg,144
"Rutgers, The State University of New Jersey",144
Academy of Sciences of the Czech Republic,143
University of Cape Town,142
Institute of Botany Chinese Academy of Sciences,142
University of Tasmania,141
University of Seville,141
Universidad de Chile,140
UniversitÃ_t Hohenheim,138
"University of California, Irvine",137
"ICAR - Indian Agricultural Research Institute, New Delhi",137
Nanjing Agricultural University,137
Agricultural Research Organization of Israel,136
Tohoku University,135
Hokkaido University,135
University of Bristol,135
University of Texas at Austin,133
Universidade Federal de Pernambuco,133
University of Haifa,132
South African National Biodiversity Institute,130
University of Alberta,130
USDA Forest Service,128
"University of Washington, Seattle",128
Rothamsted Research,127
Smithsonian Tropical Research Institute,127
China Agricultural University,126
Universiteit van Pretoria,126
Texas A and M University,125
University of Canterbury,124
CSIRO Plant Industry,124
Universidade Federal de Minas Gerais,124
Indiana University,122
Universiteit Gent,122
Chinese Academy of Forestry,121
Martin-UniversitÃ_t Halle-Wittenberg,120
UniversitÃ_t Bayreuth,120
Harvard University,119
University of Missouri-Columbia,118
University of Sussex,118
Helmholtz Zentrum fÃ_r Umweltforschung,118
University of Exeter,118
UniversitÃ_t Ulm,117
Kyushu University,117
"Instituto de EcologÃ_a, A.C.",117
Russian Academy of Sciences,115
Universite Paris-Sud XI,115
Centre for Ecology & Hydrology,114
"University of Michigan, Ann Arbor",114
University of Pittsburgh,112
Centro Regional Universitario Bariloche,112
Washington State University Pullman,111
UniversitÃ  degli Studi di Napoli Federico II,109
Universitat AutÃ_noma de Barcelona,109
Consiglio Nazionale delle Ricerche,108
Xishuangbanna Tropical Botanical Garden Chinese Academy of Sciences,107
University of New England Australia,105
"Queen Mary, University of London",105
UniversitÃ_t Freiburg im Breisgau,105
Nagoya University,102
Polish Academy of Sciences,102
University of Connecticut,102
Stockholms universitet,102
Smithsonian Institution,101
University of Bern,100
Stanford University,99
CIRAD Centre de Recherche de Montpellier,99
Tel Aviv University,98
"The Natural History Museum, London",98
UniversitÃ© de Montpellier,98
Simon Fraser University,97
University of Edinburgh,97
Zhejiang University,96
Jodrell Laboratory,96
Beijing Forestry University,96
Evolutionary Biology Centre,96
Universidade Estadual de Feira de Santana,96
CSIC-UIB - Instituto Mediterraneo de Estudios Avanzados IMEDEA,96
Leiden University,96
University of Miami,96
