Scopus-39106-Analyze-Year

"Your query : (TITLE-ABS-KEY(""pollinat*""))"


Number of results : 39106

"YEAR",
"2019","3"
"2018","1788"
"2017","2556"
"2016","2260"
"2015","2190"
"2014","2115"
"2013","1929"
"2012","1801"
"2011","1736"
"2010","1682"
"2009","1615"
"2008","1475"
"2007","1300"
"2006","1306"
"2005","1121"
"2004","1100"
"2003","1010"
"2002","969"
"2001","923"
"2000","868"
"1999","840"
"1998","782"
"1997","869"
"1996","784"
"1995","431"
"1994","373"
"1993","403"
"1992","354"
"1991","360"
"1990","357"
"1989","324"
"1988","266"
"1987","257"
"1986","256"
"1985","246"
"1984","246"
"1983","191"
"1982","188"
"1981","143"
"1980","108"
"1979","132"
"1978","116"
"1977","94"
"1976","92"
"1975","97"
"1974","84"
"1973","66"
"1972","66"
"1971","69"
"1970","40"
"1969","53"
"1968","52"
"1967","55"
"1966","52"
"1965","38"
"1964","32"
"1963","27"
"1962","21"
"1961","29"
"1960","23"
"1959","35"
"1958","16"
"1957","21"
"1956","17"
"1955","16"
"1954","20"
"1953","14"
"1952","12"
"1951","9"
"1950","2"
"1949","3"
"1948","10"
"1947","9"
"1946","3"
"1944","3"
"1943","4"
"1942","9"
"1941","7"
"1940","4"
"1939","3"
"1938","4"
"1937","4"
"1936","2"
"1935","6"
"1934","3"
"1933","7"
"1932","5"
"1931","6"
"1930","3"
"1929","3"
"1928","6"
"1927","3"
"1926","3"
"1925","3"
"1924","1"
"1923","1"
"1922","1"
"1921","3"
"1920","1"
"1919","1"
"1918","1"
"1917","2"
"1916","10"
"1915","13"
"1914","6"
"1913","3"
"1912","1"
"1911","1"
"1910","2"
"1909","4"
"1908","2"
"1907","1"
"1906","6"
"1905","2"
"1904","1"
"1903","1"
"1895","1"
"1893","1"
"1891","1"
"1880","1"
