Scopus-9545-Analyze-Year

"Your query : (TITLE-ABS-KEY(""seed disp*""))"


Number of results : 9545

"YEAR",
"2018","401"
"2017","556"
"2016","561"
"2015","557"
"2014","542"
"2013","555"
"2012","514"
"2011","552"
"2010","468"
"2009","476"
"2008","430"
"2007","393"
"2006","351"
"2005","334"
"2004","262"
"2003","260"
"2002","278"
"2001","224"
"2000","197"
"1999","199"
"1998","178"
"1997","168"
"1996","126"
"1995","111"
"1994","99"
"1993","91"
"1992","80"
"1991","69"
"1990","68"
"1989","80"
"1988","48"
"1987","43"
"1986","42"
"1985","48"
"1984","42"
"1983","35"
"1982","24"
"1981","15"
"1980","10"
"1979","13"
"1978","6"
"1977","2"
"1976","5"
"1975","8"
"1974","1"
"1973","4"
"1972","1"
"1971","3"
"1970","1"
"1968","2"
"1967","1"
"1966","2"
"1965","3"
"1964","1"
"1963","1"
"1958","1"
"1943","1"
"1932","1"
"1930","1"
